case,reduce_frac,train_n_class1,train_n_class2,distribution,class1_errors,class1_error_rate,class2_errors,class2_error_rate,total_errors,min_error_rate,error_upper_bound
1,,60000,140000,true,1640,0.0273,1388,0.0099,3028,0.0151,0.0483
1,,60000,140000,estimated,1649,0.0275,1384,0.0099,3033,0.0152,0.0489
1,0.0001,6,14,true,1640,0.0273,1388,0.0099,3028,0.0151,0.0483
1,0.0001,6,14,estimated,2880,0.048,824,0.0059,3704,0.0185,0.0102
1,0.001,60,140,true,1640,0.0273,1388,0.0099,3028,0.0151,0.0483
1,0.001,60,140,estimated,1341,0.0223,1716,0.0123,3057,0.0153,0.0462
1,0.01,600,1400,true,1640,0.0273,1388,0.0099,3028,0.0151,0.0483
1,0.01,600,1400,estimated,1514,0.0252,1531,0.0109,3045,0.0152,0.0525
1,0.1,6000,14000,true,1640,0.0273,1388,0.0099,3028,0.0151,0.0483
1,0.1,6000,14000,estimated,1582,0.0264,1445,0.0103,3027,0.0151,0.0491
3,,60000,140000,true,1640,0.0273,1388,0.0099,3028,0.0151,0.0483
3,,60000,140000,estimated,1629,0.0272,1408,0.0101,3037,0.0152,0.0484
3,0.0001,6,14,true,1640,0.0273,1388,0.0099,3028,0.0151,0.0483
3,0.0001,6,14,estimated,2550,0.0425,1606,0.0115,4156,0.0208,0.0326
3,0.001,60,140,true,1640,0.0273,1388,0.0099,3028,0.0151,0.0483
3,0.001,60,140,estimated,1542,0.0257,1489,0.0106,3031,0.0152,0.0496
3,0.01,600,1400,true,1640,0.0273,1388,0.0099,3028,0.0151,0.0483
3,0.01,600,1400,estimated,1529,0.0255,1524,0.0109,3053,0.0153,0.0449
3,0.1,6000,14000,true,1640,0.0273,1388,0.0099,3028,0.0151,0.0483
3,0.1,6000,14000,estimated,1598,0.0266,1430,0.0102,3028,0.0151,0.0465
